[1509886887.977929],log level:0,thread name:decision ,decision:is alive
[1509886887.978094],log level:0,thread name:log ,log:is alive
[1509886887.983695],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.879558
[1509886887.988498],log level:0,thread name:light ,light:is alive
[1509886887.993216],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886887.994313],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886887.995259],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886887.995841],log level:0,thread name:temp ,temp:is alive
[1509886887.996935],log level:0,thread name:decision ,decision:is alive
[1509886887.998117],log level:0,thread name:log ,log:is alive
[1509886888.2635],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.879558
[1509886888.3219],log level:0,thread name:light ,light:is alive
[1509886888.8069],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.8618],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.10055],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.10319],log level:0,thread name:temp ,temp:is alive
[1509886888.11081],log level:0,thread name:decision ,decision:is alive
[1509886888.12170],log level:0,thread name:log ,log:is alive
[1509886888.15998],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.879558
[1509886888.17650],log level:0,thread name:light ,light:is alive
[1509886888.22492],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.23022],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.23908],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.24101],log level:0,thread name:temp ,temp:is alive
[1509886888.25170],log level:0,thread name:decision ,decision:is alive
[1509886888.25323],log level:0,thread name:log ,log:is alive
[1509886888.30833],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.879558
[1509886888.32054],log level:0,thread name:light ,light:is alive
[1509886888.38452],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.39466],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.40699],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.40954],log level:0,thread name:temp ,temp:is alive
[1509886888.42076],log level:0,thread name:decision ,decision:is alive
[1509886888.42613],log level:0,thread name:log ,log:is alive
[1509886888.47778],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.879558
[1509886888.49341],log level:0,thread name:light ,light:is alive
[1509886888.52908],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.53594],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.54994],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.55368],log level:0,thread name:temp ,temp:is alive
[1509886888.56204],log level:0,thread name:decision ,decision:is alive
[1509886888.57015],log level:0,thread name:log ,log:is alive
[1509886888.63299],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.879558
[1509886888.64776],log level:0,thread name:light ,light:is alive
[1509886888.68713],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.69380],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.70438],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.70656],log level:0,thread name:temp ,temp:is alive
[1509886888.72086],log level:0,thread name:decision ,decision:is alive
[1509886888.72288],log level:0,thread name:log ,log:is alive
[1509886888.78852],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.879558
[1509886888.80953],log level:0,thread name:light ,light:is alive
[1509886888.84859],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.85193],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.86343],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.86998],log level:0,thread name:temp ,temp:is alive
[1509886888.88988],log level:0,thread name:decision ,decision:is alive
[1509886888.89375],log level:0,thread name:log ,log:is alive
[1509886888.94691],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.879558
[1509886888.95293],log level:0,thread name:light ,light:is alive
[1509886888.99392],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
